======================================================================
      WIND TURBINE SENSOR CORRELATION REPORT     
======================================================================

--- COLLINEAR SENSOR PAIRS ---


                          Feature_1                           Feature_2  Correlation
                      Nacelle_angle                     Nacelle_angle_c     0.999999
            Absolute_wind_direction           Absolute_wind_direction_c     0.999999
                    Generator_speed                         Rotor_speed     0.999997
                Generator_speed_min                     Rotor_speed_min     0.999993
                Generator_speed_max                     Rotor_speed_max     0.999976
                Generator_speed_std                     Rotor_speed_std     0.999915
      Generator_converter_speed_std                 Generator_speed_std     0.999904
      Generator_converter_speed_std                     Rotor_speed_std     0.999841
          Generator_converter_speed                         Rotor_speed     0.999715
          Generator_converter_speed                     Generator_speed     0.999715
      Generator_converter_speed_min                 Generator_speed_min     0.999692
      Generator_converter_speed_min                     Rotor_speed_min     0.999688
      Generator_converter_speed_max                 Generator_speed_max     0.999670
      Generator_converter_speed_max                     Rotor_speed_max     0.999653
                Outdoor_temperature             Outdoor_temperature_min     0.999156
            Outdoor_temperature_max             Outdoor_temperature_min     0.999103
                Outdoor_temperature             Outdoor_temperature_max     0.999059
          Rotor_bearing_temperature       Rotor_bearing_temperature_min     0.998428
Generator_bearing_2_temperature_max Generator_bearing_2_temperature_min     0.998076
   Gearbox_oil_sump_temperature_max    Gearbox_oil_sump_temperature_min     0.997876
                    Hub_temperature                 Hub_temperature_min     0.997870
                    Hub_temperature                 Hub_temperature_max     0.997714
      Rotor_bearing_temperature_max       Rotor_bearing_temperature_min     0.997697
                Hub_temperature_max                 Hub_temperature_min     0.997197
      Gearbox_bearing_2_temperature   Gearbox_bearing_2_temperature_max     0.997066
  Gearbox_bearing_2_temperature_max   Gearbox_bearing_2_temperature_min     0.996884
    Generator_bearing_2_temperature Generator_bearing_2_temperature_min     0.996812
          Rotor_bearing_temperature       Rotor_bearing_temperature_max     0.996274
       Gearbox_oil_sump_temperature    Gearbox_oil_sump_temperature_min     0.996160
      Gearbox_bearing_2_temperature   Gearbox_bearing_2_temperature_min     0.996151
      Gearbox_bearing_1_temperature   Gearbox_bearing_1_temperature_max     0.996054
       Gearbox_oil_sump_temperature    Gearbox_oil_sump_temperature_max     0.995964
    Generator_bearing_2_temperature Generator_bearing_2_temperature_max     0.995958
   Generator_stator_temperature_max    Generator_stator_temperature_min     0.995956
       Generator_stator_temperature    Generator_stator_temperature_min     0.995650
  Gearbox_bearing_1_temperature_max   Gearbox_bearing_1_temperature_min     0.995485
       Generator_stator_temperature    Generator_stator_temperature_max     0.995281
      Gearbox_bearing_1_temperature   Gearbox_bearing_1_temperature_min     0.995023
    Generator_bearing_1_temperature Generator_bearing_1_temperature_min     0.993878
Generator_bearing_1_temperature_max Generator_bearing_1_temperature_min     0.993563
    Generator_bearing_1_temperature Generator_bearing_1_temperature_max     0.990343
  Gearbox_bearing_1_temperature_max   Gearbox_bearing_2_temperature_max     0.985518
          Gearbox_inlet_temperature       Gearbox_inlet_temperature_max     0.985164
      Gearbox_bearing_1_temperature       Gearbox_bearing_2_temperature     0.984167
          Gearbox_inlet_temperature       Gearbox_inlet_temperature_min     0.983634
  Gearbox_bearing_1_temperature_max       Gearbox_bearing_2_temperature     0.983500
  Gearbox_bearing_1_temperature_max   Gearbox_bearing_2_temperature_min     0.982884
                Nacelle_temperature             Nacelle_temperature_min     0.982662
  Gearbox_bearing_1_temperature_min   Gearbox_bearing_2_temperature_min     0.982279
      Gearbox_bearing_1_temperature   Gearbox_bearing_2_temperature_max     0.980319
      Gearbox_bearing_1_temperature   Gearbox_bearing_2_temperature_min     0.979586
  Gearbox_bearing_1_temperature_min       Gearbox_bearing_2_temperature     0.979138
  Gearbox_bearing_1_temperature_min   Gearbox_bearing_2_temperature_max     0.979078
                   Grid_voltage_max                    Grid_voltage_min     0.978350
                        Pitch_angle                     Pitch_angle_min     0.975437
                        Pitch_angle                     Pitch_angle_max     0.974805
                       Grid_voltage                    Grid_voltage_min     0.974031
      Gearbox_inlet_temperature_max       Gearbox_inlet_temperature_min     0.973312
                Nacelle_temperature             Nacelle_temperature_max     0.971989
            Nacelle_temperature_max             Nacelle_temperature_min     0.971350
                    Generator_speed                     Rotor_speed_max     0.970474
                    Generator_speed                 Generator_speed_max     0.970431
          Generator_converter_speed       Generator_converter_speed_max     0.970427
                        Rotor_speed                     Rotor_speed_max     0.970422
                Generator_speed_max                         Rotor_speed     0.970375
      Generator_converter_speed_max                     Generator_speed     0.970250
          Generator_converter_speed                     Rotor_speed_max     0.970214
      Generator_converter_speed_max                         Rotor_speed     0.970198
          Generator_converter_speed                 Generator_speed_max     0.970169
                       Grid_voltage                    Grid_voltage_max     0.968568
                Generator_speed_min                         Rotor_speed     0.964507
          Generator_converter_speed       Generator_converter_speed_min     0.964494
                    Generator_speed                 Generator_speed_min     0.964466
                        Rotor_speed                     Rotor_speed_min     0.964454
                    Generator_speed                     Rotor_speed_min     0.964409
          Generator_converter_speed                 Generator_speed_min     0.964326
          Generator_converter_speed                     Rotor_speed_min     0.964270
      Generator_converter_speed_min                         Rotor_speed     0.964187
      Generator_converter_speed_min                     Generator_speed     0.964145
                  Nacelle_angle_max                   Nacelle_angle_min     0.955422
                 Grid_frequency_std                    Grid_voltage_std     0.952994
      Gearbox_inlet_temperature_max        Gearbox_oil_sump_temperature     0.948494
      Gearbox_inlet_temperature_max    Gearbox_oil_sump_temperature_min     0.947727
      Gearbox_inlet_temperature_max    Gearbox_oil_sump_temperature_max     0.946552
                    Hub_temperature             Outdoor_temperature_min     0.940605
                Hub_temperature_max             Outdoor_temperature_min     0.939910
                Hub_temperature_min             Outdoor_temperature_min     0.939679
                    Hub_temperature                 Outdoor_temperature     0.938311
                Hub_temperature_max                 Outdoor_temperature     0.936399
                    Hub_temperature             Outdoor_temperature_max     0.936287
                Hub_temperature_min                 Outdoor_temperature     0.936112
          Gearbox_inlet_temperature        Gearbox_oil_sump_temperature     0.935963
                Hub_temperature_max             Outdoor_temperature_max     0.935675
                Hub_temperature_min             Outdoor_temperature_max     0.935281
          Gearbox_inlet_temperature    Gearbox_oil_sump_temperature_min     0.930027
          Gearbox_inlet_temperature    Gearbox_oil_sump_temperature_max     0.924990
  Gearbox_bearing_2_temperature_max    Gearbox_oil_sump_temperature_max     0.924364
                    Pitch_angle_max                     Pitch_angle_min     0.923752
  Gearbox_bearing_2_temperature_min    Gearbox_oil_sump_temperature_max     0.922128
                Generator_speed_min                     Rotor_speed_max     0.921172
      Generator_converter_speed_max       Generator_converter_speed_min     0.921116
                Generator_speed_max                 Generator_speed_min     0.921097
      Generator_converter_speed_max                 Generator_speed_min     0.921087
                    Rotor_speed_max                     Rotor_speed_min     0.921063
                Generator_speed_max                     Rotor_speed_min     0.920987
      Generator_converter_speed_max                     Rotor_speed_min     0.920978
      Generator_converter_speed_min                     Rotor_speed_max     0.920883
      Generator_converter_speed_min                 Generator_speed_max     0.920807
      Gearbox_bearing_2_temperature        Gearbox_oil_sump_temperature     0.920393
      Gearbox_bearing_2_temperature    Gearbox_oil_sump_temperature_max     0.919839
  Gearbox_bearing_2_temperature_max        Gearbox_oil_sump_temperature     0.919750
Generator_bearing_1_temperature_max Generator_bearing_2_temperature_max     0.919352
  Gearbox_bearing_2_temperature_min        Gearbox_oil_sump_temperature     0.918256
      Gearbox_inlet_temperature_min    Gearbox_oil_sump_temperature_min     0.917374
   Gearbox_oil_sump_temperature_min    Generator_stator_temperature_max     0.917057
    Generator_bearing_1_temperature     Generator_bearing_2_temperature     0.917044
Generator_bearing_1_temperature_min Generator_bearing_2_temperature_max     0.916942
  Gearbox_bearing_2_temperature_min    Gearbox_oil_sump_temperature_min     0.916062
  Gearbox_bearing_2_temperature_max    Gearbox_oil_sump_temperature_min     0.916049
      Gearbox_inlet_temperature_min        Gearbox_oil_sump_temperature     0.915073
Generator_bearing_1_temperature_min Generator_bearing_2_temperature_min     0.914931
Generator_bearing_1_temperature_min     Generator_bearing_2_temperature     0.913974
       Gearbox_oil_sump_temperature    Generator_stator_temperature_max     0.913946
   Gearbox_oil_sump_temperature_max    Generator_stator_temperature_max     0.913779
    Generator_bearing_1_temperature Generator_bearing_2_temperature_max     0.913359
       Gearbox_oil_sump_temperature        Generator_stator_temperature     0.913163
   Gearbox_oil_sump_temperature_min        Generator_stator_temperature     0.912640
      Gearbox_bearing_2_temperature    Gearbox_oil_sump_temperature_min     0.912477
Generator_bearing_1_temperature_max     Generator_bearing_2_temperature     0.911836
Generator_bearing_1_temperature_max Generator_bearing_2_temperature_min     0.911782
   Gearbox_oil_sump_temperature_min    Generator_stator_temperature_min     0.911102
    Generator_bearing_1_temperature Generator_bearing_2_temperature_min     0.910311
   Gearbox_oil_sump_temperature_max        Generator_stator_temperature     0.908095
      Gearbox_inlet_temperature_min    Gearbox_oil_sump_temperature_max     0.907859
       Gearbox_oil_sump_temperature    Generator_stator_temperature_min     0.906537
   Gearbox_oil_sump_temperature_max    Generator_stator_temperature_min     0.905919
  Gearbox_bearing_2_temperature_min    Generator_stator_temperature_max     0.905575
  Gearbox_bearing_1_temperature_min    Generator_stator_temperature_max     0.905162
  Gearbox_bearing_2_temperature_max    Generator_stator_temperature_max     0.904817
  Gearbox_bearing_1_temperature_max    Generator_stator_temperature_max     0.902988
  Gearbox_bearing_1_temperature_max    Gearbox_oil_sump_temperature_max     0.902595
      Gearbox_bearing_2_temperature    Generator_stator_temperature_max     0.902107
  Gearbox_bearing_1_temperature_min    Gearbox_oil_sump_temperature_max     0.900760
      Gearbox_bearing_1_temperature        Gearbox_oil_sump_temperature     0.900301
  Gearbox_bearing_1_temperature_min        Generator_stator_temperature     0.899868
  Gearbox_bearing_1_temperature_min        Gearbox_oil_sump_temperature     0.899551
  Gearbox_bearing_1_temperature_max        Gearbox_oil_sump_temperature     0.899491
      Gearbox_bearing_1_temperature    Generator_stator_temperature_max     0.899321
  Gearbox_bearing_1_temperature_min    Gearbox_oil_sump_temperature_min     0.898422
  Gearbox_bearing_2_temperature_min        Generator_stator_temperature     0.897432
      Gearbox_bearing_1_temperature    Gearbox_oil_sump_temperature_max     0.897010
      Gearbox_bearing_2_temperature        Generator_stator_temperature     0.896585
      Gearbox_bearing_1_temperature        Generator_stator_temperature     0.896498
  Gearbox_bearing_1_temperature_max        Generator_stator_temperature     0.896335
  Gearbox_bearing_1_temperature_max    Gearbox_oil_sump_temperature_min     0.896243
  Gearbox_bearing_2_temperature_max        Generator_stator_temperature     0.895903
      Gearbox_bearing_1_temperature    Gearbox_oil_sump_temperature_min     0.892479
  Gearbox_bearing_1_temperature_min    Generator_stator_temperature_min     0.889885
  Gearbox_bearing_2_temperature_min    Generator_stator_temperature_min     0.888717
  Gearbox_bearing_2_temperature_max    Generator_stator_temperature_min     0.885989
  Gearbox_bearing_1_temperature_max    Generator_stator_temperature_min     0.885276
      Gearbox_bearing_2_temperature    Generator_stator_temperature_min     0.883530
      Gearbox_bearing_1_temperature    Generator_stator_temperature_min     0.882014
      Gearbox_inlet_temperature_max Generator_bearing_1_temperature_max     0.881738
   Gearbox_oil_sump_temperature_min Generator_bearing_1_temperature_max     0.874333
      Gearbox_inlet_temperature_max     Generator_bearing_1_temperature     0.873946
          Gearbox_inlet_temperature Generator_bearing_1_temperature_max     0.871078
       Gearbox_oil_sump_temperature Generator_bearing_1_temperature_max     0.870074
          Gearbox_inlet_temperature     Generator_bearing_1_temperature     0.870022
   Gearbox_oil_sump_temperature_max Generator_bearing_1_temperature_max     0.869257
                 Grid_frequency_max                  Grid_frequency_min     0.868419
Generator_bearing_2_temperature_max    Generator_stator_temperature_min     0.867076
Generator_bearing_1_temperature_max    Generator_stator_temperature_max     0.864026
      Gearbox_inlet_temperature_max Generator_bearing_1_temperature_min     0.863877
      Gearbox_inlet_temperature_min Generator_bearing_1_temperature_max     0.863336
